event_date,ticker,asset,event_type,event_window,date_precision,confidence,source,nct_id,source_url
2027-01-04,AZN,laroprovstat,READOUT,"Jan 4, 2027",day,medium,clinicaltrials,NCT07000136,https://clinicaltrials.gov/study/NCT07000136
2027-01-04,MRK,rescue medications,READOUT,"Jan 4, 2027",day,medium,clinicaltrials,NCT06356311,https://clinicaltrials.gov/study/NCT06356311
2027-01-04,MRK,supportive care measures,READOUT,"Jan 4, 2027",day,medium,clinicaltrials,NCT06356311,https://clinicaltrials.gov/study/NCT06356311
2027-01-10,BMY,mezigdomide,READOUT,"Jan 10, 2027",day,medium,clinicaltrials,NCT05519085,https://clinicaltrials.gov/study/NCT05519085
2027-01-11,AZN,laroprovstat,READOUT,"Jan 11, 2027",day,medium,clinicaltrials,NCT07000123,https://clinicaltrials.gov/study/NCT07000123
2027-01-13,SMMT,ivonescimab,READOUT,"Jan 13, 2027",day,medium,clinicaltrials,NCT06951503,https://clinicaltrials.gov/study/NCT06951503
2027-01-15,IDYA,darovasertib,READOUT,"Jan 15, 2027",day,medium,clinicaltrials,NCT05987332,https://clinicaltrials.gov/study/NCT05987332
2027-01-15,MLTX,sonelokimab,READOUT,"Jan 15, 2027",day,medium,clinicaltrials,NCT06641089,https://clinicaltrials.gov/study/NCT06641089
2027-01-21,AMGN,maridebart cafraglutide,READOUT,"Jan 21, 2027",day,medium,clinicaltrials,NCT06858839,https://clinicaltrials.gov/study/NCT06858839
2027-01-29,PFE,disitamab vedotin,READOUT,"Jan 29, 2027",day,medium,clinicaltrials,NCT05911295,https://clinicaltrials.gov/study/NCT05911295
2027-02-04,MLTX,sonelokimab,READOUT,"Feb 4, 2027",day,medium,clinicaltrials,NCT06641076,https://clinicaltrials.gov/study/NCT06641076
2027-02-11,NVS,inclisiran,READOUT,"Feb 11, 2027",day,medium,clinicaltrials,NCT07102628,https://clinicaltrials.gov/study/NCT07102628
2027-02-14,LLY,tirzepatide,READOUT,"Feb 14, 2027",day,medium,clinicaltrials,NCT07481747,https://clinicaltrials.gov/study/NCT07481747
2027-02-22,AZN,laroprovstat,READOUT,"Feb 22, 2027",day,medium,clinicaltrials,NCT06834932,https://clinicaltrials.gov/study/NCT06834932
2027-02-26,AZN,anifrolumab,READOUT,"Feb 26, 2027",day,medium,clinicaltrials,NCT05138133,https://clinicaltrials.gov/study/NCT05138133
2027-02-28,LLY,orforglipron,READOUT,Feb 2027,month,medium,clinicaltrials,NCT06672549,https://clinicaltrials.gov/study/NCT06672549
2027-02-28,GMAB,rina,READOUT,Feb 2027,month,medium,clinicaltrials,NCT06619236,https://clinicaltrials.gov/study/NCT06619236
2027-02-28,GILD,sacituzumab govitecan hziy,READOUT,Feb 2027,month,medium,clinicaltrials,NCT05382286,https://clinicaltrials.gov/study/NCT05382286
2027-03-01,NVO,cagrilintide,READOUT,"Mar 1, 2027",day,medium,clinicaltrials,NCT07011667,https://clinicaltrials.gov/study/NCT07011667
2027-03-13,RYTM,setmelanotide,READOUT,"Mar 13, 2027",day,medium,clinicaltrials,NCT06760546,https://clinicaltrials.gov/study/NCT06760546
2027-03-18,MRK,ibrutinib,READOUT,"Mar 18, 2027",day,medium,clinicaltrials,NCT04212013,https://clinicaltrials.gov/study/NCT04212013
2027-03-22,REGN,fianlimab,READOUT,"Mar 22, 2027",day,medium,clinicaltrials,NCT06246916,https://clinicaltrials.gov/study/NCT06246916
2027-03-24,NVS,ianalumab,READOUT,"Mar 24, 2027",day,medium,clinicaltrials,NCT05639114,https://clinicaltrials.gov/study/NCT05639114
2027-03-31,ARGX,efgartigimod,READOUT,Mar 2027,month,medium,clinicaltrials,NCT04833894,https://clinicaltrials.gov/study/NCT04833894
2027-03-31,IONS,olezarsen,READOUT,Mar 2027,month,medium,clinicaltrials,NCT05681351,https://clinicaltrials.gov/study/NCT05681351
2027-03-31,AAPG,olverembatinib,READOUT,"Mar 31, 2027",day,medium,clinicaltrials,NCT06640361,https://clinicaltrials.gov/study/NCT06640361
2027-03-31,MDGL,resmetirom,READOUT,Mar 2027,month,medium,clinicaltrials,NCT04951219,https://clinicaltrials.gov/study/NCT04951219
2027-03-31,AZN,rezvilutamide,READOUT,Mar 2027,month,medium,clinicaltrials,NCT07241416,https://clinicaltrials.gov/study/NCT07241416
2027-03-31,PFE,ritlecitinib,READOUT,"Mar 31, 2027",day,medium,clinicaltrials,NCT06163326,https://clinicaltrials.gov/study/NCT06163326
2027-03-31,NVS,tisagenlecleucel,READOUT,"Mar 31, 2027",day,medium,clinicaltrials,NCT04094311,https://clinicaltrials.gov/study/NCT04094311
2027-03-31,ONC,zanubrutinib,READOUT,Mar 2027,month,medium,clinicaltrials,NCT04002297,https://clinicaltrials.gov/study/NCT04002297
2027-04-12,NVS,ianalumab,READOUT,"Apr 12, 2027",day,medium,clinicaltrials,NCT05624749,https://clinicaltrials.gov/study/NCT05624749
2027-04-14,PFE,tofacitinib,READOUT,"Apr 14, 2027",day,medium,clinicaltrials,NCT04624230,https://clinicaltrials.gov/study/NCT04624230
