asset,nct_id,phase,status,primary_completion,conditions,arm_role,sponsor_raw,company_name,ticker
niraparib,NCT03748641,PHASE3,ACTIVE_NOT_RECRUITING,2021-10-08,Castration-Resistant Prostatic Cancer,experimental,"Janssen Research & Development, LLC",,
niraparib,NCT03768063,PHASE3,ACTIVE_NOT_RECRUITING,2028-07-05,Cancer,experimental,Hoffmann-La Roche,,
niraparib,NCT03981796,PHASE3,ACTIVE_NOT_RECRUITING,2026-11-26,Neoplasms,active_comparator,"Tesaro, Inc.",,
niraparib,NCT04497844,PHASE3,ACTIVE_NOT_RECRUITING,2025-01-07,Metastatic Castration-sensitive Prostate Cancer,experimental,"Janssen Research & Development, LLC",,
niraparib,NCT04915755,PHASE3,ACTIVE_NOT_RECRUITING,2024-06-28,"Neoplasms, Breast",experimental,GlaxoSmithKline,,
niraparib,NCT05615818,PHASE3,RECRUITING,2027-06,Biliary Tract Neoplasms,experimental,UNICANCER,,
niraparib,NCT06388733,PHASE3,ACTIVE_NOT_RECRUITING,2027-12,"Glioblastoma; GBM; Brain Neoplasms, Adult, Malignant; Brain Tumor",experimental,Ivy Brain Tumor Center,,
niraparib,NCT06915025,PHASE3,RECRUITING,2032-10-31,Epithelial Ovarian Cancer; Ovarian Cancer; Fallopian Tube Cancer; Primary Peritoneal Carcinoma,experimental,Imunon,"Imunon, Inc.",IMNN
obicetrapib,NCT05202509,PHASE3,ACTIVE_NOT_RECRUITING,2026-11,Atherosclerotic Cardiovascular Disease,experimental,NewAmsterdam Pharma,NewAmsterdam Pharma Co N.V.,NAMS
obicetrapib,NCT07219602,PHASE3,RECRUITING,2028-03,Lipidemia; Type 2 Diabetes (T2DM); Metabolic Syndrome (MetS),experimental,NewAmsterdam Pharma,NewAmsterdam Pharma Co N.V.,NAMS
oleclumab,NCT05221840,PHASE3,ACTIVE_NOT_RECRUITING,2026-09-30,Non-Small Cell Lung Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
olezarsen,NCT05681351,PHASE3,ACTIVE_NOT_RECRUITING,2027-03,Severe Hypertriglyceridemia,experimental,"Ionis Pharmaceuticals, Inc.",IONIS PHARMACEUTICALS INC,IONS
olverembatinib,NCT06051409,PHASE3,RECRUITING,2027-12-31,"Ph+ ALL; Leukemia, Lymphoblastic, Acute, Philadelphia-Positive",experimental,Ascentage Pharma Group Inc.,ASCENTAGE PHARMA GROUP INTERNATIONAL,AAPG
olverembatinib,NCT06423911,PHASE3,RECRUITING,2025-12,"Chronic Myeloid Leukemia; CML; CML, Chronic Phase",other,Ascentage Pharma Group Inc.,ASCENTAGE PHARMA GROUP INTERNATIONAL,AAPG
olverembatinib,NCT06640361,PHASE3,RECRUITING,2027-03-31,GIST,experimental,Ascentage Pharma Group Inc.,ASCENTAGE PHARMA GROUP INTERNATIONAL,AAPG
olvimulogene nanivacirepvec,NCT05281471,PHASE3,RECRUITING,2026-12,Platinum-resistant Ovarian Cancer; Platinum-refractory Ovarian Cancer; Fallopian Tube Cancer; Primary Peritoneal Cancer; High-grade Serous Ovarian Cancer; Endometrioid Ovarian Cancer; Ovarian Clear Cell Carcinoma,experimental,Genelux Corporation,GENELUX Corp,GNLX
orforglipron,NCT05869903,PHASE3,ACTIVE_NOT_RECRUITING,2025-07-25,Obesity; Overweight; Overweight or Obesity,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT06649045,PHASE3,ACTIVE_NOT_RECRUITING,2026-11,OSA; Overweight or Obesity,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT06672549,PHASE3,RECRUITING,2027-02,Obesity; Overweight,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT06672939,PHASE3,RECRUITING,2027-12,Obesity; Overweight,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT06948422,PHASE3,ACTIVE_NOT_RECRUITING,2027-09,Hypertension,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT06948435,PHASE3,ACTIVE_NOT_RECRUITING,2027-09,Hypertension; Overweight or Obesity,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT06952530,PHASE3,ACTIVE_NOT_RECRUITING,2027-09,Hypertension,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT06972459,PHASE3,ACTIVE_NOT_RECRUITING,2027-08,Obesity; Overweight,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT06972472,PHASE3,ACTIVE_NOT_RECRUITING,2027-08,Obesity; Overweight; Type 2 Diabetes,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT06993792,PHASE3,ACTIVE_NOT_RECRUITING,2027-08,Obesity; Overweight; Type 2 Diabetes,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT07153471,PHASE3,RECRUITING,2028-04,Osteoarthritis,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT07202884,PHASE3,RECRUITING,2028-03,"Urinary Incontinence,Stress",experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT07223593,PHASE3,RECRUITING,2028-06,Peripheral Arterial Disease,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT07241390,PHASE3,RECRUITING,2031-08,Atherosclerosis Cardiovascular Disease; Chronic Kidney Disease,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT07613307,PHASE3,NOT_YET_RECRUITING,2027-05,"Diabetes Mellitus, Type 2; Diabetes Melletus; Glucose Metabolism Disorders; Metabolic Disorders; Nutritional and Metabolic Diseases; Endocrine System Diseases; Feeding Behavior; Behavior; Fasting; Glucagon-Like Peptide-1 Receptor; Glucagon-Like Peptide Receptors; Receptors, G-Protein-Coupled; Receptors, Cell Surface; Membrane Proteins; Proteins; Receptors, Peptide",experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
orforglipron,NCT07668336,PHASE3,NOT_YET_RECRUITING,2030-03,"Diabetes Mellitus, Type 2",experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
paltusotine,NCT07087054,PHASE3,RECRUITING,2027-08,Carcinoid Syndrome; Carcinoid; Carcinoid Tumor; Carcinoid Tumor of Ileum; Carcinoid Tumor of Cecum; Carcinoid Tumor of Liver; Carcinoid Tumor of Pancreas; Carcinoid Syndrome Diarrhea; Carcinoid Intestine Tumor,experimental,Crinetics Pharmaceuticals Inc.,"Crinetics Pharmaceuticals, Inc.",CRNX
patidegib,NCT06050122,PHASE3,ACTIVE_NOT_RECRUITING,2026-08,Gorlin Syndrome,experimental,"Sol-Gel Technologies, Ltd.",Sol-Gel Technologies Ltd.,SLGL
pazopanib,NCT03592472,PHASE3,RECRUITING,2026-12-30,Renal Cell Carcinoma,experimental,"Xynomic Pharmaceuticals, Inc.",,
pazopanib,NCT06263231,PHASE3,ACTIVE_NOT_RECRUITING,2027-12,"Sarcoma,Soft Tissue",active_comparator,"Intensity Therapeutics, Inc.","INTENSITY THERAPEUTICS, INC.",INTS
pegaspargase,NCT03020030,PHASE3,ACTIVE_NOT_RECRUITING,2026-11-30,"Acute Lymphoblastic Leukemia, Pediatric",experimental,Dana-Farber Cancer Institute,DANA Inc,DAN
pegaspargase,NCT03117751,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2026-09-30,Acute Lymphoblastic Leukemia; Acute Lymphoblastic Lymphoma,experimental,St. Jude Children's Research Hospital,,
pegaspargase,NCT05700448,PHASE3,NOT_YET_RECRUITING,2029-12,Extranodal NK/T-cell Lymphoma,experimental,CStone Pharmaceuticals,,
pelabresib,NCT06401356,PHASE3,RECRUITING,2027-06-02,Hematologic Malignancy; Solid Tumor; Advanced Malignancies,experimental,Novartis Pharmaceuticals,NOVARTIS AG,NVS
pitolisant,NCT06366464,PHASE3,RECRUITING,2026-07,Prader-Willi Syndrome,experimental,"Harmony Biosciences Management, Inc.","Harmony Biosciences Holdings, Inc.",HRMY
pitolisant,NCT07219485,PHASE3,ENROLLING_BY_INVITATION,2030-08,Prader-Willi Syndrome,experimental,"Harmony Biosciences Management, Inc.","Harmony Biosciences Holdings, Inc.",HRMY
povorcitinib,NCT06113445,PHASE3,ACTIVE_NOT_RECRUITING,2026-02-24,NonSegmental Vitiligo,experimental,Incyte Corporation,INCYTE CORP,INCY
povorcitinib,NCT06113471,PHASE3,ACTIVE_NOT_RECRUITING,2026-03-17,NonSegmental Vitiligo,experimental,Incyte Corporation,INCYTE CORP,INCY
povorcitinib,NCT06212999,PHASE3,ACTIVE_NOT_RECRUITING,2026-12-26,Hidradenitis Suppurativa (HS),experimental,Incyte Corporation,INCYTE CORP,INCY
povorcitinib,NCT06855498,PHASE3,RECRUITING,2028-02-28,Hidradenitis Suppurativa (HS),experimental,Incyte Corporation,INCYTE CORP,INCY
ralinepag,NCT03683186,PHASE3,ENROLLING_BY_INVITATION,2026-12,"PAH; Pulmonary Hypertension; Pulmonary Arterial Hypertension; Hypertension; Connective Tissue Diseases; Familial Primary Pulmonary Hypertension; Vascular Diseases; Cardiovascular Diseases; Hypertension, Pulmonary; Lung Diseases; Respiratory Tract Disease",experimental,United Therapeutics,UNITED THERAPEUTICS Corp,UTHR
ravulizumab,NCT05644561,PHASE3,ACTIVE_NOT_RECRUITING,2026-07-15,Generalized Myasthenia Gravis; gMG,experimental,"Alexion Pharmaceuticals, Inc.",ASTRAZENECA PLC,AZN
ravulizumab,NCT07024563,PHASE3,RECRUITING,2028-07-12,IgAN; IgAVN; Immunoglobulin A Nephropathy; Immunoglobulin A Vasculitis Associated Nephritis; Henoch-schonlein Purpura Nephritis; IgA Vasculitis,experimental,"Alexion Pharmaceuticals, Inc.",ASTRAZENECA PLC,AZN
ravulizumab,NCT07596784,PHASE3,NOT_YET_RECRUITING,2027-08-27,Generalized Myasthenia Gravis; gMG,experimental,"Alexion Pharmaceuticals, Inc.",ASTRAZENECA PLC,AZN
recombinant human tissue kallikrein,NCT05065216,PHASE2;PHASE3,RECRUITING,2026-12,Acute Stroke; Ischemic Stroke; Stroke,experimental,DiaMedica Therapeutics Inc,DiaMedica Therapeutics Inc.,DMAC
rescue medications,NCT06132958,PHASE3,ACTIVE_NOT_RECRUITING,2028-01-10,Endometrial Cancer,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
rescue medications,NCT06356311,PHASE3,ACTIVE_NOT_RECRUITING,2027-01-04,Gastroesophageal Cancer,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
rescue medications,NCT07216703,PHASE3,RECRUITING,2031-10-29,Cervical Cancer,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
rescue medications,NCT07318558,PHASE3,RECRUITING,2033-02-25,Ovarian Neoplasms; Ovarian Cancer,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
resmetirom,NCT03900429,PHASE3,ACTIVE_NOT_RECRUITING,2028-01,NASH - Nonalcoholic Steatohepatitis,active_comparator,"Madrigal Pharmaceuticals, Inc.","MADRIGAL PHARMACEUTICALS, INC.",MDGL
resmetirom,NCT04951219,PHASE3,ACTIVE_NOT_RECRUITING,2027-03,Non-Alcoholic Fatty Liver Disease,experimental,"Madrigal Pharmaceuticals, Inc.","MADRIGAL PHARMACEUTICALS, INC.",MDGL
resmetirom,NCT05500222,PHASE3,ACTIVE_NOT_RECRUITING,2026-12,"NASH; Cirrhosis, Liver",active_comparator,"Madrigal Pharmaceuticals, Inc.","MADRIGAL PHARMACEUTICALS, INC.",MDGL
retatrutide,NCT05882045,PHASE3,ACTIVE_NOT_RECRUITING,2026-04-16,Obesity; Cardiovascular Diseases,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
retatrutide,NCT05929079,PHASE3,ACTIVE_NOT_RECRUITING,2026-05,Type 2 Diabetes; Obesity; Overweight; Obstructive Sleep Apnea,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
retatrutide,NCT06260722,PHASE3,ACTIVE_NOT_RECRUITING,2026-08,"Diabetes Mellitus, Type 2",experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
retatrutide,NCT06297603,PHASE3,ACTIVE_NOT_RECRUITING,2026-10,Type 2 Diabetes,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
retatrutide,NCT06383390,PHASE3,ACTIVE_NOT_RECRUITING,2029-02,Atherosclerotic Cardiovascular Disease (ASCVD); Chronic Kidney Disease (CKD),experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
retatrutide,NCT06662383,PHASE3,ACTIVE_NOT_RECRUITING,2026-12,Obesity,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
retatrutide,NCT06859268,PHASE3,ACTIVE_NOT_RECRUITING,2028-04,Obesity,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
retatrutide,NCT07035093,PHASE3,RECRUITING,2027-09,Obesity; Overweight; Chronic Low Back Pain (CLBP),experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
retatrutide,NCT07165028,PHASE3,RECRUITING,2030-08,Metabolic Dysfunction-Associated Steatotic Liver Disease,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
retatrutide,NCT07232719,PHASE3,ACTIVE_NOT_RECRUITING,2027-07,Obesity; Overweight,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
retatrutide,NCT07357415,PHASE3,ACTIVE_NOT_RECRUITING,2028-10,Obesity; Overweight,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
rezvilutamide,NCT07241416,PHASE3,RECRUITING,2027-03,Metastatic Hormone-sensitive Prostate Cancer (mHSPC),experimental,"Jiangsu HengRui Medicine Co., Ltd.",,
rezvilutamide,NCT07611110,PHASE3,RECRUITING,2029-02-13,Metastatic Castration-resistant Prostate Cancer,active_comparator,AstraZeneca,ASTRAZENECA PLC,AZN
rilvegostomig,NCT06109779,PHASE3,ACTIVE_NOT_RECRUITING,2029-01-02,Biliary Tract Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
rilvegostomig,NCT06357533,PHASE3,RECRUITING,2029-12-28,Non-Small Cell Lung Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
rilvegostomig,NCT06467357,PHASE3,RECRUITING,2028-06-12,Biliary Tract Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
rilvegostomig,NCT06564844,PHASE3,ACTIVE_NOT_RECRUITING,2027-06-30,Non-small Cell Lung Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
rilvegostomig,NCT06627647,PHASE3,RECRUITING,2030-11-18,Non-squamous Non-small Cell Lung Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
rilvegostomig,NCT06692738,PHASE3,RECRUITING,2030-07-01,Non-small Cell Lung Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
rilvegostomig,NCT06764875,PHASE3,RECRUITING,2029-04-27,HER2-positive Gastric Cancer; Gastroesophageal Junction Adenocarcinoma,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
rilvegostomig,NCT06868277,PHASE3,RECRUITING,2030-01-17,"Carcinoma, Non-Small Cell Lung",experimental,AstraZeneca,ASTRAZENECA PLC,AZN
rilvegostomig,NCT06921785,PHASE3,RECRUITING,2029-03-16,Hepatocellular Carcinoma,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
rilvegostomig,NCT06989112,PHASE3,RECRUITING,2029-01-19,Endometrial Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
rilvegostomig,NCT07221253,PHASE3,RECRUITING,2029-07-31,Biliary Tract Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
rilvegostomig,NCT07431281,PHASE3,RECRUITING,2029-08-16,Gastric Cancer; Gastroesophageal Junction Adenocarcinoma; Esophageal Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
rina,NCT06619236,PHASE3,ACTIVE_NOT_RECRUITING,2027-02,Platinum-resistant Ovarian Cancer,experimental,Genmab,GENMAB A/S,GMAB
rina,NCT07166094,PHASE3,RECRUITING,2029-08,Endometrial Cancer; Recurrent or Progressive Endometrial Cancer,experimental,Genmab,GENMAB A/S,GMAB
rina,NCT07225270,PHASE3,RECRUITING,2028-10,Ovarian Cancer; Platinum-sensitive Ovarian Cancer; PSOC,experimental,Genmab,GENMAB A/S,GMAB
rina,NCT07564141,PHASE3,NOT_YET_RECRUITING,2029-12,Platinum-Sensitive Ovarian Cancer; Ovarian Cancer,experimental,Genmab,GENMAB A/S,GMAB
rina,NCT07604766,PHASE3,NOT_YET_RECRUITING,2027-09,Platinum-resistant Ovarian Cancer,experimental,Genmab,GENMAB A/S,GMAB
ritlecitinib,NCT06072183,PHASE3,ACTIVE_NOT_RECRUITING,2027-07-30,Stable Nonsegmental Vitiligo; Active Nonsegmental Vitiligo,experimental,Pfizer,PFIZER INC,PFE
ritlecitinib,NCT06072183,PHASE3,ACTIVE_NOT_RECRUITING,2027-07-30,Stable Nonsegmental Vitiligo; Active Nonsegmental Vitiligo,experimental,Pfizer,PFIZER INC,PFE
ritlecitinib,NCT06072183,PHASE3,ACTIVE_NOT_RECRUITING,2027-07-30,Stable Nonsegmental Vitiligo; Active Nonsegmental Vitiligo,experimental,Pfizer,PFIZER INC,PFE
ritlecitinib,NCT06072183,PHASE3,ACTIVE_NOT_RECRUITING,2027-07-30,Stable Nonsegmental Vitiligo; Active Nonsegmental Vitiligo,experimental,Pfizer,PFIZER INC,PFE
ritlecitinib,NCT06163326,PHASE3,ACTIVE_NOT_RECRUITING,2027-03-31,Vitiligo,experimental,Pfizer,PFIZER INC,PFE
ritlecitinib,NCT06163326,PHASE3,ACTIVE_NOT_RECRUITING,2027-03-31,Vitiligo,experimental,Pfizer,PFIZER INC,PFE
ritlecitinib,NCT06873945,PHASE3,ACTIVE_NOT_RECRUITING,2026-12-21,Alopecia Areata,experimental,Pfizer,PFIZER INC,PFE
ritlecitinib,NCT06873945,PHASE3,ACTIVE_NOT_RECRUITING,2026-12-21,Alopecia Areata,experimental,Pfizer,PFIZER INC,PFE
ritlecitinib higher,NCT07029711,PHASE3,ACTIVE_NOT_RECRUITING,2026-12-02,Severe Alopecia Areata,experimental,Pfizer,PFIZER INC,PFE
ritlecitinib higher,NCT07029828,PHASE3,RECRUITING,2030-06-26,Severe Alopecia Areata,experimental,Pfizer,PFIZER INC,PFE
ritlecitinib lower,NCT07029711,PHASE3,ACTIVE_NOT_RECRUITING,2026-12-02,Severe Alopecia Areata,experimental,Pfizer,PFIZER INC,PFE
ritlecitinib lower,NCT07029828,PHASE3,RECRUITING,2030-06-26,Severe Alopecia Areata,experimental,Pfizer,PFIZER INC,PFE
rosuvastatin calcium,NCT03016819,PHASE3,RECRUITING,2027-12,Alveolar Soft Part Sarcoma; Leiomyosarcoma; Synovial Sarcoma; Soft-Tissue Sarcoma,active_comparator,"Advenchen Laboratories, LLC",,
rosuvastatin calcium,NCT04602754,PHASE3,RECRUITING,2026-05,Dyslipidemia Associated With Type II Diabetes Mellitus,active_comparator,EMS,,
rosuvastatin calcium,NCT07216482,PHASE3,ACTIVE_NOT_RECRUITING,2026-12-02,Hyperlipidemia,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
rosuvastatin calcium,NCT07474649,PHASE3,NOT_YET_RECRUITING,2028-06-01,Coronary Atherosclerosis; Mixed Dyslipidemia; Hypercholesterolemia,experimental,Daiichi Sankyo,,
sacituzumab govitecan hziy,NCT04639986,PHASE3,ACTIVE_NOT_RECRUITING,2026-12,Metastatic Breast Cancer,experimental,Gilead Sciences,"GILEAD SCIENCES, INC.",GILD
sacituzumab govitecan hziy,NCT05089734,PHASE3,ACTIVE_NOT_RECRUITING,2023-11-29,Non-Small Cell Lung Cancer,experimental,Gilead Sciences,"GILEAD SCIENCES, INC.",GILD
sacituzumab govitecan hziy,NCT05382286,PHASE3,ACTIVE_NOT_RECRUITING,2027-02,Triple Negative Breast Cancer; PD-L1 Positive,experimental,Gilead Sciences,"GILEAD SCIENCES, INC.",GILD
sacituzumab govitecan hziy,NCT05382299,PHASE3,ACTIVE_NOT_RECRUITING,2028-07,Triple Negative Breast Cancer; PD-L1 Negative,experimental,Gilead Sciences,"GILEAD SCIENCES, INC.",GILD
sacituzumab govitecan hziy,NCT05633654,PHASE3,RECRUITING,2027-06,Triple Negative Breast Cancer,experimental,Gilead Sciences,"GILEAD SCIENCES, INC.",GILD
sacituzumab govitecan hziy,NCT05840211,PHASE3,ACTIVE_NOT_RECRUITING,2028-04,Locally Advanced or Unresectable Metastatic Breast Cancer; Stage IV Breast Cancer,experimental,Gilead Sciences,"GILEAD SCIENCES, INC.",GILD
sacituzumab govitecan hziy,NCT06486441,PHASE3,ACTIVE_NOT_RECRUITING,2029-06,Endometrial Cancer,experimental,Gilead Sciences,"GILEAD SCIENCES, INC.",GILD
setmelanotide,NCT05093634,PHASE3,ACTIVE_NOT_RECRUITING,2025-12-22,Obesity; Genetic Obesity,experimental,"Rhythm Pharmaceuticals, Inc.","RHYTHM PHARMACEUTICALS, INC.",RYTM
setmelanotide,NCT05774756,PHASE3,ACTIVE_NOT_RECRUITING,2025-03-18,Hypothalamic Obesity,experimental,"Rhythm Pharmaceuticals, Inc.","RHYTHM PHARMACEUTICALS, INC.",RYTM
setmelanotide,NCT06760546,PHASE3,RECRUITING,2027-03-13,Hypothalamic Obesity; Multiple Pituitary Hormone Deficiency Genetic Form; Septo-Optic Dysplasia; Optic Nerve Hypoplasia; Childhood-onset Combined Pituitary Hormone Deficiency; Pituitary Stalk Interruption Syndrome,experimental,"Rhythm Pharmaceuticals, Inc.","RHYTHM PHARMACEUTICALS, INC.",RYTM
sonelokimab,NCT06641076,PHASE3,ACTIVE_NOT_RECRUITING,2027-02-04,"Arthritis, Psoriatic",experimental,MoonLake Immunotherapeutics AG,MoonLake Immunotherapeutics,MLTX
sonelokimab,NCT06641089,PHASE3,RECRUITING,2027-01-15,"Arthritis, Psoriatic",experimental,MoonLake Immunotherapeutics AG,MoonLake Immunotherapeutics,MLTX
sonelokimab,NCT06768671,PHASE3,ACTIVE_NOT_RECRUITING,2026-09-28,Hidradenitis Suppurativa,experimental,MoonLake Immunotherapeutics AG,MoonLake Immunotherapeutics,MLTX
sonelokimab,NCT07007637,PHASE3,ENROLLING_BY_INVITATION,2028-06-13,Hidradenitis Suppurativa,experimental,MoonLake Immunotherapeutics AG,MoonLake Immunotherapeutics,MLTX
sonelokimab,NCT07223138,PHASE3,ENROLLING_BY_INVITATION,2028-02-04,"Arthritis, Psoriatic",experimental,MoonLake Immunotherapeutics AG,MoonLake Immunotherapeutics,MLTX
sotagliflozin,NCT06217302,PHASE3,RECRUITING,2028-12,"Diabetic Nephropathies; Kidney Failure, Chronic; Diabetes Mellitus Type 1; Heart Failure",active_comparator,Alessandro Doria,,
sotagliflozin,NCT06481891,PHASE3,RECRUITING,2026-07,"Obstructive Cardiomyopathy, Hypertrophic; Non-obstructive Hypertrophic Cardiomyopathy",experimental,Lexicon Pharmaceuticals,"LEXICON PHARMACEUTICALS, INC.",LXRX
sotorasib,NCT04303780,PHASE3,ACTIVE_NOT_RECRUITING,2022-08-02,"KRAS p, G12c Mutated /Advanced Metastatic NSCLC",experimental,Amgen,AMGEN INC,AMGN
sotorasib,NCT05920356,PHASE3,RECRUITING,2027-06-30,Non-Small Cell Lung Cancer (NSCLC),experimental,Amgen,AMGEN INC,AMGN
sotorasib,NCT06252649,PHASE3,RECRUITING,2028-09-25,Metastatic Colorectal Cancer,experimental,Amgen,AMGEN INC,AMGN
sotorasib,NCT06497556,PHASE3,ACTIVE_NOT_RECRUITING,2026-05-19,Non-Small Cell Lung Cancer; KRAS G12C Lung Cancer,active_comparator,Hoffmann-La Roche,,
supportive care measures,NCT06170788,PHASE3,RECRUITING,2028-01-25,Non-small Cell Lung Cancer (NSCLC),experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
supportive care measures,NCT06356311,PHASE3,ACTIVE_NOT_RECRUITING,2027-01-04,Gastroesophageal Cancer,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
tafasitamab,NCT04680052,PHASE3,ACTIVE_NOT_RECRUITING,2024-02-23,Follicular Lymphoma; Marginal Zone Lymphoma,experimental,Incyte Corporation,INCYTE CORP,INCY
tafasitamab,NCT04824092,PHASE3,ACTIVE_NOT_RECRUITING,2026-09-01,Diffuse Large B-cell Lymphoma,experimental,Incyte Corporation,INCYTE CORP,INCY
tafasitamab,NCT05429268,PHASE3,ACTIVE_NOT_RECRUITING,2026-03-30,Large B-Cell Lymphoma; Diffuse Large B-Cell Lymphoma,experimental,Incyte Corporation,INCYTE CORP,INCY
tafasitamab,NCT06521255,PHASE3,RECRUITING,2028-09,DLBCL,experimental,"Beijing InnoCare Pharma Tech Co., Ltd.",,
talazoparib,NCT05059522,PHASE3,ACTIVE_NOT_RECRUITING,2026-12-31,Advanced Malignancies; NSCLC; Ovarian Cancer; Urothelial Cancer; Solid Tumors,experimental,Pfizer,PFIZER INC,PFE
tapinarof,NCT05172726,PHASE3,ACTIVE_NOT_RECRUITING,2026-10,Plaque Psoriasis,experimental,Organon and Co,Organon & Co.,OGN
tapinarof,NCT05981118,PHASE2;PHASE3,ENROLLING_BY_INVITATION,2026-07,ICD10 Code L40.9 for Psoriasis,active_comparator,Wake Forest University Health Sciences,,
tapinarof,NCT07265479,PHASE3,RECRUITING,2028-01,Atopic Dermatitis,experimental,Organon and Co,Organon & Co.,OGN
tarlatamab,NCT05740566,PHASE3,ACTIVE_NOT_RECRUITING,2025-01-29,Small Cell Lung Cancer (SCLC),experimental,Amgen,AMGEN INC,AMGN
tarlatamab,NCT06117774,PHASE3,ACTIVE_NOT_RECRUITING,2030-04-20,Limited Stage Small Cell Lung Cancer; Small Cell Lung Cancer,experimental,Amgen,AMGEN INC,AMGN
tarlatamab,NCT06211036,PHASE3,ACTIVE_NOT_RECRUITING,2027-07-05,Extensive-Stage Small-Cell Lung Cancer; Small-Cell Lung Cancer,experimental,Amgen,AMGEN INC,AMGN
tarlatamab,NCT07005128,PHASE3,RECRUITING,2029-01-04,Small-cell Lung Cancer; Extensive Stage Small-cell Lung Cancer,experimental,Amgen,AMGEN INC,AMGN
tarlatamab,NCT07637513,PHASE3,NOT_YET_RECRUITING,2037-11,Limited Stage Small-Cell Lung Cancer,experimental,"PrECOG, LLC.",,
telisotuzumab adizutecan,NCT06614192,PHASE3,ACTIVE_NOT_RECRUITING,2027-08,Metastatic Colorectal Cancer,experimental,AbbVie,AbbVie Inc.,ABBV
telisotuzumab adizutecan,NCT07005102,PHASE2;PHASE3,RECRUITING,2031-12,Non-Squamous Non-Small Cell Lung Cancer,experimental,AbbVie,AbbVie Inc.,ABBV
telisotuzumab adizutecan,NCT07155187,PHASE2;PHASE3,RECRUITING,2030-09,Non-Small Cell Lung Cancer,experimental,AbbVie,AbbVie Inc.,ABBV
telisotuzumab adizutecan,NCT07525206,PHASE3,RECRUITING,2029-05,Colorectal Cancer,experimental,AbbVie,AbbVie Inc.,ABBV
telitacicept,NCT06456580,PHASE3,RECRUITING,2027-05,Generalized Myasthenia Gravis,experimental,Vor Biopharma,Vor Biopharma Inc.,VOR
telitacicept,NCT07249632,PHASE3,RECRUITING,2026-12-31,"Myasthenia Gravis, Ocular",experimental,"RemeGen Co., Ltd.",,
tezepelumab,NCT06023589,PHASE3,RECRUITING,2028-05-31,Asthma,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
tezepelumab,NCT06740045,PHASE3,NOT_YET_RECRUITING,2025-03,Asthma; Chronic Rhinosinusitis With Nasal Polyps,experimental,"Dr. Andrew Thamboo, MD",,
