asset,nct_id,phase,status,primary_completion,conditions,arm_role,sponsor_raw,company_name,ticker
lebrikizumab,NCT05559359,PHASE3,ACTIVE_NOT_RECRUITING,2026-01-14,Atopic Dermatitis; Eczema,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
lebrikizumab,NCT05735483,PHASE3,ENROLLING_BY_INVITATION,2027-12,Atopic Dermatitis; Eczema,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
lebrikizumab,NCT06280716,PHASE3,ACTIVE_NOT_RECRUITING,2025-09-25,Atopic Dermatitis,experimental,Eli Lilly and Company,ELI LILLY & Co,LLY
lebrikizumab,NCT06526182,PHASE3,ACTIVE_NOT_RECRUITING,2027-04-25,"Dermatitis, Atopic; Eczema",experimental,"Almirall, S.A.",,
lebrikizumab,NCT07542483,PHASE3,NOT_YET_RECRUITING,2028-08,Nummular Eczema,experimental,"Almirall, S.A.",,
lerotinib,NCT04415853,PHASE3,RECRUITING,2026-08,Esophageal Cancer,experimental,"Sunshine Lake Pharma Co., Ltd.",Sunshine Biopharma Inc.,SBFM
lisaftoclax,NCT06319456,PHASE3,RECRUITING,2027-08,CLL/SLL,experimental,Ascentage Pharma Group Inc.,ASCENTAGE PHARMA GROUP INTERNATIONAL,AAPG
lisaftoclax,NCT06389292,PHASE3,RECRUITING,2028-05-25,Acute Myeloid Leukemia,experimental,Ascentage Pharma Group Inc.,ASCENTAGE PHARMA GROUP INTERNATIONAL,AAPG
litifilimab,NCT04895241,PHASE3,ACTIVE_NOT_RECRUITING,2026-09-30,"Lupus Erythematosus, Systemic",experimental,Biogen,BIOGEN INC.,BIIB
litifilimab,NCT04961567,PHASE3,ACTIVE_NOT_RECRUITING,2026-09-27,"Lupus Erythematosus, Systemic",experimental,Biogen,BIOGEN INC.,BIIB
litifilimab,NCT05352919,PHASE3,ENROLLING_BY_INVITATION,2030-03-29,Systemic Lupus Erythematosus (SLE),experimental,Biogen,BIOGEN INC.,BIIB
litifilimab,NCT05531565,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2026-10-20,Subacute Cutaneous Lupus Erythematosus; Chronic Cutaneous Lupus Erythematosus,experimental,Biogen,BIOGEN INC.,BIIB
litifilimab,NCT06044337,PHASE3,ENROLLING_BY_INVITATION,2029-06-26,Subacute Cutaneous Lupus Erythematosus; Chronic Cutaneous Lupus Erythematosus,experimental,Biogen,BIOGEN INC.,BIIB
lorlatanib,NCT05059522,PHASE3,ACTIVE_NOT_RECRUITING,2026-12-31,Advanced Malignancies; NSCLC; Ovarian Cancer; Urothelial Cancer; Solid Tumors,experimental,Pfizer,PFIZER INC,PFE
lutikizumab,NCT06468228,PHASE3,ACTIVE_NOT_RECRUITING,2026-12,Hidradenitis Suppurativa,experimental,AbbVie,AbbVie Inc.,ABBV
